Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ID,SEASON,OPP_TEAM_ID,PTS_ALLOWED,DEF_LAST10
1610612737,22100014,2021-10-21,ATL vs. DAL,W,1,0,1.0,240,45,94,0.479,15,35,0.429,8,9,0.889,6,49,55,31,8,9,13,16,113,1610612737,2021,1610612742,87,
1610612737,22100027,2021-10-23,ATL @ CLE,L,1,1,0.5,240,38,99,0.384,10,34,0.294,9,15,0.6,17,37,54,20,5,3,9,23,95,1610612737,2021,1610612739,101,
1610612737,22100043,2021-10-25,ATL vs. DET,W,2,1,0.667,240,46,90,0.511,12,32,0.375,18,21,0.857,10,39,49,24,11,3,13,19,122,1610612737,2021,1610612765,104,
1610612737,22100059,2021-10-27,ATL @ NOP,W,3,1,0.75,240,40,96,0.417,8,30,0.267,14,17,0.824,21,34,55,21,4,4,11,14,102,1610612737,2021,1610612740,99,
1610612737,22100066,2021-10-28,ATL @ WAS,L,3,2,0.6,240,48,88,0.545,6,21,0.286,9,14,0.643,6,37,43,26,4,3,13,16,111,1610612737,2021,1610612764,122,
1610612737,22100082,2021-10-30,ATL @ PHI,L,3,3,0.5,240,36,95,0.379,8,22,0.364,14,19,0.737,20,29,49,24,6,1,19,17,94,1610612737,2021,1610612755,122,102.6
1610612737,22100097,2021-11-01,ATL vs. WAS,W,4,3,0.571,240,38,83,0.458,13,34,0.382,29,29,1.0,13,34,47,24,9,5,11,17,118,1610612737,2021,1610612764,111,105.83333333333333
1610612737,22100113,2021-11-03,ATL @ BKN,L,4,4,0.5,240,41,94,0.436,13,35,0.371,13,15,0.867,12,40,52,23,8,4,14,16,108,1610612737,2021,1610612751,117,106.57142857142857
1610612737,22100120,2021-11-04,ATL vs. UTA,L,4,5,0.444,240,35,82,0.427,7,28,0.25,21,26,0.808,5,27,32,18,11,4,9,24,98,1610612737,2021,1610612762,116,107.875
1610612737,22100137,2021-11-06,ATL @ PHX,L,4,6,0.4,240,42,97,0.433,13,33,0.394,20,23,0.87,14,36,50,18,3,1,12,16,117,1610612737,2021,1610612756,121,108.77777777777777
1610612737,22100152,2021-11-08,ATL @ GSW,L,4,7,0.364,240,38,82,0.463,17,43,0.395,20,26,0.769,3,32,35,21,6,2,18,16,113,1610612737,2021,1610612744,127,110.0
